4933401J01Rik chr1:3073252-3074322
Snhg6 chr1:9941958-9944118
Snord87 chr1:9942462-9942549
Tcf24 chr1:9960162-9967932
E330040D14Rik chr1:9967313-9968687
Ppp1r42 chr1:9968623-10009136
Gm15818 chr1:9982386-9992366
Gm24674 chr1:10009813-10009917
Cops5 chr1:10024600-10038127
Cspp1 chr1:10038216-10136768
1700047N06Rik chr1:10057024-10057944
Arfgef1 chr1:10137570-10232670
Gm26348 chr1:10166538-10166778
Gm37569 chr1:10197080-10198802
Cpa6 chr1:10324726-10719945
Gm38005 chr1:10449244-10451989
Gm25253 chr1:10555553-10555660
Gm37133 chr1:10782455-10784377
Gm22963 chr1:10921669-10921760
Prex2 chr1:10993464-11303681
Gm24173 chr1:11134110-11134238
Gm37410 chr1:11363925-11366964
A830018L16Rik chr1:11414104-11975901
Gm38178 chr1:11416917-11419388
Gm38069 chr1:11704206-11706350
Gm22633 chr1:12374935-12375042
Mir6341 chr1:12425985-12426106
Gm17644 chr1:12667562-12673090
Gm29663 chr1:12670323-12671176
Sulf1 chr1:12692276-12861192
Slco5a1 chr1:12866548-12992650
Gm37162 chr1:13059400-13059951
Gm29283 chr1:13068837-13078662
Prdm14 chr1:13113456-13127163
Ncoa2 chr1:13139104-13374083
Gm38376 chr1:13177461-13179714
Gm37409 chr1:13234808-13236434
Gm27881 chr1:13262197-13262279
Gm38223 chr1:13289811-13290506
Gm37702 chr1:13297035-13298907
Gm23169 chr1:13334497-13334609
Gm38120 chr1:13343562-13348204
Gm38380 chr1:13354482-13356730
Gm29570 chr1:13376069-13388413
Tram1 chr1:13564697-13589910
Lactb2 chr1:13623329-13660546
Gm38319 chr1:13641482-13642748
Xkr9 chr1:13668770-13701723
Gm26273 chr1:13774333-13774464
Gm36947 chr1:13846870-13849119
Gm25491 chr1:13932377-13932685
Gm37400 chr1:14109214-14112819
Eya1 chr1:14168953-14310235
Gm22616 chr1:14182577-14182677
Gm37444 chr1:14255551-14255990
Gm9947 chr1:14752936-14776931
Msc chr1:14753345-14755990
Gm37412 chr1:14788644-14792965
Trpa1 chr1:14872647-14918862
Gm26345 chr1:15019039-15019159
Kcnb2 chr1:15287253-15723750
Gm38116 chr1:15364301-15365834
Gm37138 chr1:15556248-15558337
Gm25227 chr1:15685934-15686046
Gm25168 chr1:15757831-15757963
Terf1 chr1:15805645-15844052
Gm37509 chr1:15853330-15856499
Sbspon chr1:15853861-15892722
Gm23259 chr1:15879529-15879832
4930444P10Rik chr1:16065978-16093325
Rpl7 chr1:16101294-16104662
Rdh10 chr1:16105773-16133734
Gm38249 chr1:16208196-16210517
Gm28095 chr1:16228505-16244062
Stau2 chr1:16228673-16520112
Gm7568 chr1:16253591-16267921
Ube2w chr1:16569781-16619489
Gm38342 chr1:16618559-16621539
Tceb1 chr1:16641724-16657042
D030040B21Rik chr1:16657551-16662278
Tmem70 chr1:16665206-16678275
Ly96 chr1:16688432-16709611
Gm28376 chr1:16898184-17091631
4921511E07Rik chr1:16930969-16931796
Jph1 chr1:16994937-17097889
Gm28783 chr1:17124746-17128956
Gdap1 chr1:17145361-17164271
Gm28784 chr1:17168402-17173103
Gm25166 chr1:17520000-17520111
Pi15 chr1:17601900-17630939
Gm28154 chr1:17615083-17641081
Gm16070 chr1:17676026-17727646
Crispld1 chr1:17727044-17766344
Gm28153 chr1:17741914-17805417
RP24-571A14.6 chr1:17994461-18059056
Crisp4 chr1:18115190-18145902
Defb18 chr1:18236472-18237443
Defb41 chr1:18250979-18265138
Gm24075 chr1:18969761-18969833
Gm15825 chr1:19063299-19104840
Tfap2d chr1:19103021-19166346
Tfap2b chr1:19208913-19238576
Gm28340 chr1:19242724-19243769
Gm24633 chr1:19513854-19513919
Gm38382 chr1:19614268-19616767
Pkhd1 chr1:20057778-20618064
Gm37315 chr1:20062069-20065548
4930486I03Rik chr1:20356451-20392300
Gm24162 chr1:20444810-20444912
Mir206 chr1:20679009-20679082
Gm28653 chr1:20679022-20684298
Mir133b chr1:20682768-20682887
Il17a chr1:20730904-20734496
Il17f chr1:20777145-20784270
Mcm3 chr1:20802967-20820312
Gm28065 chr1:20836660-20839689
Gm24723 chr1:20842534-20842666
6720483E21Rik chr1:20888649-20890473
Paqr8 chr1:20890605-20939650
Gm24171 chr1:20915409-20915540
Efhc1 chr1:20951687-20990841
Tram2 chr1:20996298-21079229
Gm28287 chr1:21080113-21081748
Tmem14a chr1:21218574-21230167
Gm38224 chr1:21234721-21236821
Gsta3 chr1:21240588-21265661
Gm28836 chr1:21250358-21271593
Khdc1a chr1:21349640-21352200
Khdc1c chr1:21368330-21370845
Khdc1b chr1:21383555-21386373
Kcnq5 chr1:21398402-21961942
Gm36949 chr1:21454690-21457017
Gm38243 chr1:21838947-21840514
Gm26580 chr1:21959841-21962530
Rims1 chr1:22286250-22805724
Gm29506 chr1:23048294-23235673
4933415F23Rik chr1:23100472-23102253
Gm24176 chr1:23245210-23245331
Gm6420 chr1:23255684-23256407
Mir30a chr1:23272268-23272339
Gm27028 chr1:23291536-23291935
Mir30c-2 chr1:23291700-23291784
Gm29107 chr1:23293728-23294075
Ogfrl1 chr1:23366423-23383175
Gm28822 chr1:23574586-23596664
B3gat2 chr1:23761752-23849158
Smap1 chr1:23845624-23922317
Sdhaf4 chr1:23995938-24005656
Gm26524 chr1:24005504-24005894
Fam135a chr1:24011244-24100333
Gm37580 chr1:24100624-24103424
Col9a1 chr1:24177609-24252684
Col19a1 chr1:24263993-24587472
Gm26418 chr1:24548840-24548977
Lmbrd1 chr1:24678629-24766301
Gm28237 chr1:24963208-24965158
Gm29414 chr1:25026580-25027232
Adgrb3 chr1:25067475-25829707
Gm20172 chr1:25276403-25277954
Gm22260 chr1:25279444-25279551
Gm37543 chr1:25284217-25285248
Gm37331 chr1:25296511-25299886
Gm37211 chr1:25314275-25317708
Gm37862 chr1:25325865-25328398
Gm38286 chr1:25345977-25349082
Gm37880 chr1:25362563-25365820
Gm25294 chr1:25451070-25451174
Gm37011 chr1:25608249-25611184
Gm37051 chr1:25620237-25623180
Gm38260 chr1:25672244-25676239
Gm37628 chr1:25686061-25691501
8030445P17Rik chr1:25722037-25724778
Gm38198 chr1:25735388-25738969
Gm37077 chr1:25755342-25759033
Gm37895 chr1:25775756-25780306
Gm36952 chr1:25797280-25800905
Gm37602 chr1:25804096-25807406
2900022M07Rik chr1:25808955-25809972
2900002M20Rik chr1:25824389-25824719
Gm9884 chr1:25830656-25831878
Gm24064 chr1:26566832-26566938
4931408C20Rik chr1:26681813-26687460
n-R5s209 chr1:26959102-26959221
Gm5524 chr1:27884045-27902396
Gm38089 chr1:28569917-28571431
Gm597 chr1:28776116-28780252
Gm25586 chr1:29280963-29281075
Gm22679 chr1:29301479-29301579
Gm23785 chr1:29361274-29361370
Mir6342 chr1:29421487-29421612
Gm23771 chr1:29985933-29986043
Gm27430 chr1:30333290-30333397
Gm9898 chr1:30718559-30719962
Phf3 chr1:30802338-30873581
Gm37522 chr1:30833547-30836431
Gm37906 chr1:30865503-30868538
Ptp4a1 chr1:30940301-30949770
Gm29669 chr1:31019187-31096454
Gm28644 chr1:31041918-31043675
Gm27362 chr1:31122724-31122862
Gm29128 chr1:31136025-31150105
4931428L18Rik chr1:31141163-31222684
Lgsn chr1:31176400-31204725
Pih1d3 chr1:31222837-31224288
Gm26145 chr1:31259592-31259719
Gm23032 chr1:31656631-31656738
Khdrbs2 chr1:32172713-32658568
Gm25814 chr1:32213132-32213239
Gm37999 chr1:32473756-32475565
Gm37110 chr1:32485314-32486942
Gm37911 chr1:32496443-32497988
Gm9839 chr1:32519562-32520999
Gm37792 chr1:32539027-32542440
Gm5415 chr1:32543685-32547294
Gm24732 chr1:32568358-32568421
Gm37426 chr1:32710178-32712648
Gm23024 chr1:32726638-32726930
Gm37151 chr1:32967483-32972490
Gm37724 chr1:33065129-33066350
Gm24901 chr1:33191992-33192102
Gm37591 chr1:33212773-33215475
Gm25792 chr1:33293675-33293775
Gm23453 chr1:33422732-33422838
Prim2 chr1:33453809-33669795
Gm37618 chr1:33613757-33616832
1700001G17Rik chr1:33669823-33670712
Gm38173 chr1:33671914-33674228
Rab23 chr1:33719894-33742564
Bag2 chr1:33745483-33757795
Gm37905 chr1:33748006-33748347
Zfp451 chr1:33761544-33814570
Bend6 chr1:33852051-33907816
Gm37067 chr1:33889489-33891117
Dst chr1:33908224-34308661
Gm37354 chr1:33922454-33924838
Gm23792 chr1:33981409-33981502
Gm38157 chr1:34032099-34033797
Mir6896 chr1:34117358-34117431
Gm26788 chr1:34165855-34178271
A930005N03Rik chr1:34269881-34271128
Gm37958 chr1:34329432-34330307
Gm37385 chr1:34350774-34351161
Gm37233 chr1:34427001-34433264
Mir5103 chr1:34433120-34433199
Ccdc115 chr1:34436669-34439672
Gm28306 chr1:34439510-34444730
Imp4 chr1:34439850-34449356
Ptpn18 chr1:34459764-34475733
Gm28417 chr1:34470154-34473148
4930568A12Rik chr1:34477166-34485933
Prss39 chr1:34498409-34503063
Cfc1 chr1:34535647-34544313
Prss40 chr1:34552333-34560920
1700101I19Rik chr1:34579201-34579711
Amer3 chr1:34579656-34590944
Arhgef4 chr1:34678187-34813309
Gm38336 chr1:34809359-34811908
Fam168b chr1:34813218-34843065
Gm37127 chr1:34823524-34826560
Plekhb2 chr1:34849975-34879580
Gm25096 chr1:35178955-35179084
Gm37068 chr1:35625605-35651297
Gm25634 chr1:35761601-35761706
Gm28415 chr1:35806973-35810462
1110002O04Rik chr1:35879844-35881119
Gm37146 chr1:35981959-35986373
Gm33222 chr1:36002984-36011044
4930535G08Rik chr1:36011071-36011894
Gm38049 chr1:36029646-36031018
Hs6st1 chr1:36068399-36106446
Gm37335 chr1:36105383-36106446
Gm33280 chr1:36132041-36138746
Uggt1 chr1:36140026-36244305
Mir6897 chr1:36144251-36144313
Neurl3 chr1:36264596-36274679
Arid5a chr1:36307753-36324029
4930403P22Rik chr1:36332707-36333420
Kansl3 chr1:36335729-36369181
Mir6898 chr1:36348681-36348758
Fer1l5 chr1:36372290-36422107
Lman2l chr1:36422064-36445271
Cnnm4 chr1:36471619-36508764
Gm37909 chr1:36473951-36476110
AC084391.1 chr1:36506561-36506702
Cnnm3 chr1:36511866-36528237
Gm38033 chr1:36527533-36528237
Ankrd23 chr1:36530187-36536521
Gm42417 chr1:36530192-36539358
Ankrd39 chr1:36538093-36547445
Sema4c chr1:36548638-36558349
D430040D24Rik chr1:36558358-36565613
Fam178b chr1:36562691-36683183
Gm24133 chr1:36663964-36664039
Cox5b chr1:36691483-36693681
Actr1b chr1:36698113-36710008
4933424G06Rik chr1:36714537-36757953
Gm33533 chr1:36739047-36744792
Zap70 chr1:36761797-36782818
Tmem131 chr1:36792190-36939822
Gm37506 chr1:36871902-36872045
Gm38115 chr1:36913600-36916539
F830112A20Rik chr1:36922796-36926348
n-R5s210 chr1:37005438-37005557
Vwa3b chr1:37026595-37187605
Gm37020 chr1:37132272-37133264
Cnga3 chr1:37218378-37263384
1700074A21Rik chr1:37299351-37299697
Inpp4a chr1:37299890-37410736
4930439A04Rik chr1:37329666-37334156
Gm37135 chr1:37330970-37331504
Coa5 chr1:37417083-37430103
Unc50 chr1:37430138-37439124
Mgat4a chr1:37439339-37541016
4930594C11Rik chr1:37485850-37488605
2010300C02Rik chr1:37611676-37720085
4930556I23Rik chr1:37614258-37615372
4930470B04Rik chr1:37660721-37662647
Gm19863 chr1:37694446-37696664
Tsga10 chr1:37754775-37866429
Gm26805 chr1:37865298-37871388
Lipt1 chr1:37872205-37876228
Mitd1 chr1:37874800-37890411
Mrpl30 chr1:37890476-37898535
Lyg2 chr1:37905922-37916493
Gm15457 chr1:37933595-37954136
Lyg1 chr1:37946735-37957759
Gm23409 chr1:37973966-37974203
Txndc9 chr1:37985188-37997893
Eif5b chr1:37998009-38055579
Rev1 chr1:38052785-38129662
Gm37062 chr1:38076294-38077305
Gm5099 chr1:38132082-38159892
Aff3 chr1:38177325-38664955
Gm16150 chr1:38235419-38245603
Gm16151 chr1:38307901-38311930
Gm16152 chr1:38384948-38393974
2610300A13Rik chr1:38767183-38767686
Lonrf2 chr1:38793644-38836711
Chst10 chr1:38863866-38898161
Gm37707 chr1:38884753-38888072
Nms chr1:38939148-38950276
Pdcl3 chr1:38985607-38997238
Gm37309 chr1:38992677-38994316
Gm37821 chr1:39048647-39057637
Gm37091 chr1:39081251-39083338
Mir6349 chr1:39186895-39186992
Npas2 chr1:39194211-39363236
Rpl31 chr1:39367841-39371911
Tbc1d8 chr1:39371491-39478755
Gm37265 chr1:39419047-39419932
Gm24826 chr1:39519532-39519748
Cnot11 chr1:39534991-39546889
Gm15832 chr1:39547569-39552002
Snord89 chr1:39548744-39548854
Rnf149 chr1:39551295-39577405
Gm23722 chr1:39573745-39573875
Creg2 chr1:39618405-39651474
D930019O06Rik chr1:39650175-39657390
Rfx8 chr1:39665300-39720997
Gm3646 chr1:39804147-39805332
1700066B17Rik chr1:39839174-39847330
Map4k4 chr1:39900912-40026310
4930456G14Rik chr1:40049038-40050368
Gm16894 chr1:40076227-40085851
Il1r2 chr1:40084697-40125231
Gm37347 chr1:40088510-40091581
Il1r1 chr1:40225079-40317257
Gm38070 chr1:40238019-40244499
Il1rl2 chr1:40324626-40367562
Il1rl1 chr1:40429569-40465415
Il18r1 chr1:40465551-40500854
Il18rap chr1:40515361-40551705
Gm35801 chr1:40572187-40580662
Slc9a4 chr1:40580080-40630725
Gm37435 chr1:40582894-40586841
Slc9a2 chr1:40680573-40769273
Gm37623 chr1:40691441-40697636
Gm37915 chr1:40771384-40785343
Mfsd9 chr1:40772037-40790663
Tmem182 chr1:40805600-40856887
4930448I06Rik chr1:41167586-41181252
Gm28634 chr1:41526930-41529543
Gm29260 chr1:41781807-41939560
Gm9915 chr1:42229725-42231108
Gm29664 chr1:42238232-42238695
Gm28175 chr1:42261856-42304412
Gm28140 chr1:42324589-42355937
Gm37047 chr1:42491812-42495663
Pantr1 chr1:42590781-42694842
4930420N18Rik chr1:42651725-42652401
Gm20646 chr1:42694924-42744791
Pou3f3 chr1:42695767-42703176
Pantr2 chr1:42707060-42713454
Dalir chr1:42750711-42752881
Mrps9 chr1:42851232-42905682
Gm23126 chr1:42866684-42866818
Gpr45 chr1:42952962-43035456
Gm24001 chr1:43036844-43036929
Tgfbrap1 chr1:43047199-43098622
Gm28782 chr1:43056266-43057134
8430432A02Rik chr1:43092587-43093835
AI597479 chr1:43098709-43115947
Fhl2 chr1:43123073-43196984
Gm29040 chr1:43250155-43302925
Nck2 chr1:43445750-43570515
Gm37536 chr1:43488446-43490937
Gm38228 chr1:43560272-43561565
1500015O10Rik chr1:43730601-43742578
Gm29155 chr1:43741960-43743895
Gm29157 chr1:43742914-43743526
Gm29156 chr1:43745783-43746282
Uxs1 chr1:43746965-43827800
Gm26352 chr1:43902927-43903052
Gm24180 chr1:43918776-43918886
Tpp2 chr1:43934006-44003000
Mettl21c chr1:44009407-44020006
Gm8251 chr1:44055951-44061936
Tex30 chr1:44086612-44102441
Gm29247 chr1:44091462-44110045
Kdelc1 chr1:44106545-44118808
Bivm chr1:44119161-44144770
Ercc5 chr1:44147846-44181260
Mettl21e chr1:44204069-44218961
Gm28893 chr1:44392808-44394447
Gulp1 chr1:44551510-44796838
Gm37626 chr1:44560884-44565447
4930521E06Rik chr1:44739675-44744949
Gm38110 chr1:44756941-44758492
Col3a1 chr1:45311537-45349706
AC125167.1 chr1:45311672-45311813
Col5a2 chr1:45374320-45503282
Gm38211 chr1:45485835-45493052
Gm23216 chr1:45685455-45685562
Gm23974 chr1:45746894-45747025
Gm23984 chr1:45772961-45773164
Wdr75 chr1:45795165-45823619
Gm5269 chr1:45889940-45890078
Slc40a1 chr1:45908067-45925582
Dnah7b chr1:46066737-46373546
n-R5s211 chr1:46374196-46374315
Dnah7c chr1:46425591-46807476
Slc39a10 chr1:46807543-46854046
Gm28151 chr1:46849528-46850479
Gm37393 chr1:46877202-46881072
Gm28826 chr1:47153460-47189071
Gm38090 chr1:47433823-47435765
Mir6350 chr1:47467020-47467125
Gm37196 chr1:47605995-47606901
Gm22419 chr1:47749278-47749399
Gm23829 chr1:47751298-47751568
Gm23240 chr1:48462172-48462293
Gm22693 chr1:49095443-49095885
C230029F24Rik chr1:49244615-49340443
4933411E06Rik chr1:50107469-50108962
Gm27330 chr1:50222388-50222520
Gm29665 chr1:50397551-50398079
Gm25843 chr1:50559761-50560075
Gm28321 chr1:50815374-50817701
Gm28322 chr1:50904443-50905918
Tmeff2 chr1:50909961-51187270
Gm25736 chr1:51015312-51015413
Gm28319 chr1:51138280-51141222
Gm28320 chr1:51148308-51150581
Gm29325 chr1:51195220-51197748
9330175M20Rik chr1:51218385-51333779
Sdpr chr1:51289125-51302960
1700072G22Rik chr1:51457931-51458931
Nabp1 chr1:51469487-51478425
Gm17767 chr1:51507085-51596718
Gm37535 chr1:51527004-51529369
Gm28055 chr1:51696323-51697900
Myo1b chr1:51749764-51916071
Gm29453 chr1:51847839-51849118
Gm28323 chr1:51877109-51879608
Gm27607 chr1:51938973-51939095
Stat4 chr1:51987147-52107189
Gm28177 chr1:52077260-52156087
RP24-194N4.6 chr1:52108120-52113751
Stat1 chr1:52119439-52161865
Gls chr1:52163447-52233232
Gm23460 chr1:52444435-52444544
Nab1 chr1:52457293-52500679
Gm553 chr1:52522901-52582679
Gm28178 chr1:52570013-52580291
Nemp2 chr1:52630702-52651919
Gm37242 chr1:52653807-52655892
Mfsd6 chr1:52656285-52727462
Gm29670 chr1:52702271-52704762
Inpp1 chr1:52785426-52817688
Hibch chr1:52845012-52920986
1700019D03Rik chr1:52922323-53020179
Mstn chr1:53061639-53068079
Gm24349 chr1:53100049-53100150
1700019A02Rik chr1:53158576-53187636
Pms1 chr1:53189186-53297018
Gm28777 chr1:53196112-53197695
Ormdl1 chr1:53297094-53310309
Gm28778 chr1:53297110-53318035
Osgepl1 chr1:53313623-53326343
Gm28551 chr1:53325506-53352667
Asnsd1 chr1:53344616-53352752
Dnah7a chr1:53397005-53706761
Gm25240 chr1:53443270-53443395
Stk17b chr1:53755505-53785224
Gm37863 chr1:53791200-53792657
Hecw2 chr1:53806875-54195034
Mir7681 chr1:53849423-53849495
Gm24251 chr1:53886827-53886941
Gm37633 chr1:54152396-54155096
Gm25829 chr1:54249101-54249208
Ccdc150 chr1:54250682-54368727
Gtf3c3 chr1:54396003-54438971
RP23-338P10.4 chr1:54443403-54456763
Pgap1 chr1:54472993-54557682
Gm36955 chr1:54518609-54520270
Ankrd44 chr1:54645339-54926387
4930444A19Rik chr1:54681728-54767524
Gm37370 chr1:54737165-54738575
Gm24053 chr1:54769217-54769322
A130048G24Rik chr1:54913844-54916594
Sf3b1 chr1:54985168-55027481
E330011M16Rik chr1:55051318-55053112
Coq10b chr1:55052769-55072702
Hspd1 chr1:55077834-55088024
Hspe1 chr1:55088131-55091307
Mob4 chr1:55131230-55154899
Rftn2 chr1:55170158-55226782
Gm10561 chr1:55226250-55235622
Mars2 chr1:55237176-55248470
Boll chr1:55300068-55363469
Plcl1 chr1:55405920-55754285
Gm38056 chr1:55440903-55445930
Gm37382 chr1:55559459-55561055
9130227L01Rik chr1:55931240-55972098
Gm36986 chr1:55960403-55960756
1700003I22Rik chr1:56018977-56020203
Gm28240 chr1:56531823-56533876
Hsfy2 chr1:56636043-56637435
Satb2 chr1:56793980-56972502
9130024F11Rik chr1:56971411-57050084
Gm4081 chr1:56976802-56978640
Gm23943 chr1:56999154-56999275
1700126A01Rik chr1:57127339-57129400
BC055402 chr1:57200644-57214993
4930558J18Rik chr1:57359221-57377544
1700066M21Rik chr1:57377619-57385423
Tyw5 chr1:57388236-57407101
9430016H08Rik chr1:57406327-57417953
Gm22371 chr1:57422243-57422373
Gm24014 chr1:57467869-57468026
Gm37373 chr1:57520830-57523642
Spats2l chr1:57774364-57948394
Gm17234 chr1:57909834-57917111
Kctd18 chr1:57955100-57970128
Sgol2a chr1:57995970-58025899
Aox1 chr1:58029930-58106413
Aox3 chr1:58113135-58200698
Gm24548 chr1:58154980-58155088
Aox4 chr1:58210396-58268597
Gm15759 chr1:58254116-58315656
Aox2 chr1:58278325-58380259
Gm37607 chr1:58383511-58386134
Bzw1 chr1:58392897-58407353
Clk1 chr1:58411999-58424066
Ppil3 chr1:58430993-58445486
Nif3l1 chr1:58445150-58481816
Orc2 chr1:58462770-58505109
Gm23966 chr1:58466514-58466621
Gm15834 chr1:58505151-58523230
Fam126b chr1:58522805-58586323
Ndufb3 chr1:58586383-58595964
Als2cr12 chr1:58646902-58695989
Cflar chr1:58711550-58758884
Casp8 chr1:58795373-58847503
Gm37760 chr1:58797782-58801623
Trak2 chr1:58900448-58973430
Stradb chr1:58973521-58995715
Als2cr11b chr1:58997122-59003539
Gm29018 chr1:59014223-59059481
Als2cr11 chr1:59050505-59094900
Gm25502 chr1:59070987-59071118
Tmem237 chr1:59100589-59120382
G730003C15Rik chr1:59119832-59122141
Mpp4 chr1:59120934-59163389
Gm29017 chr1:59151046-59169320
Als2 chr1:59162925-59237231
Cdk15 chr1:59256905-59352993
Gm29016 chr1:59378929-59392299
Gm37737 chr1:59447864-59449502
Fzd7 chr1:59482423-59486955
Gm26813 chr1:59488479-59492605
Gm973 chr1:59516263-59634509
Gm28411 chr1:59532990-59549521
1700122D07Rik chr1:59534810-59537229
Gm24545 chr1:59626579-59626664
Sumo1 chr1:59639433-59670834
D430013B06Rik chr1:59646199-59648071
Nop58 chr1:59684976-59719044
Snord70 chr1:59691933-59692020
Gm26293 chr1:59692508-59692592
Gm26287 chr1:59704257-59704338
Snord11 chr1:59704789-59704873
Bmpr2 chr1:59763399-59879014
Gm38125 chr1:59801262-59804700
Gm37977 chr1:59886968-59887689
Fam117b chr1:59913005-59985346
Gm37531 chr1:59929687-59935102
Ica1l chr1:59989067-60043122
Wdr12 chr1:60069784-60098645
Carf chr1:60105343-60153953
Nbeal1 chr1:60180598-60338328
Cyp20a1 chr1:60343322-60388060
6030460B20Rik chr1:60353118-60354176
Abi2 chr1:60409618-60481158
Raph1 chr1:60482291-60566779
Gm38388 chr1:60594806-60596236
Gm23762 chr1:60613697-60613803
Cd28 chr1:60746357-60773359
Gm11579 chr1:60776664-60781834
2310016D23Rik chr1:60778842-60803790
Gm37198 chr1:60779351-60781461
Gm38137 chr1:60880337-60881738
Ctla4 chr1:60909024-60915832
Icos chr1:60977926-61000320
Gm37039 chr1:60989478-60991963
Gm28083 chr1:61265290-61271514
Gm11587 chr1:61301908-61307746
9530026F06Rik chr1:61378431-61395904
Gm11588 chr1:61440100-61469475
Gm25839 chr1:61470440-61470543
Gm28449 chr1:61474950-61476028
Gm36943 chr1:61545881-61546163
4930587A21Rik chr1:61616942-61621149
Pard3b chr1:61638823-62642284
Gm37205 chr1:61654422-61657158
Gm38012 chr1:61677248-61680277
Gm38278 chr1:61702526-61703891
Pard3bos1 chr1:61767414-61851462
Gm38075 chr1:61805220-61806140
Pard3bos2 chr1:62131194-62136109
Gm38351 chr1:62247152-62249670
Pard3bos3 chr1:62456724-62499261
Gm29084 chr1:62534490-62535942
Nrp2 chr1:62703284-62818695
Gm29083 chr1:62714722-62718073
Gm37121 chr1:62809301-62811857
Gm4208 chr1:62821354-62832370
Gm44468 chr1:63025741-63025846
Gm24942 chr1:63032705-63032819
Ino80d chr1:63047800-63114667
Ino80dos chr1:63113077-63158290
Gm20342 chr1:63117117-63126837
Ndufs1 chr1:63143595-63176822
Gm24557 chr1:63161854-63161943
Eef1b2 chr1:63176824-63180486
Gm27390 chr1:63177982-63178158
Gm26457 chr1:63178676-63178754
Snora41 chr1:63179003-63179135
Gpr1 chr1:63182690-63214543
Gm27512 chr1:63198030-63198156
Platr12 chr1:63200312-63207967
1700039I01Rik chr1:63248020-63248499
Gm11608 chr1:63266847-63273115
Gm24513 chr1:63273225-63273363
Zdbf2 chr1:63273264-63314576
Gm23448 chr1:63300279-63300383
Adam23 chr1:63445890-63596276
Gm22281 chr1:63575487-63575590
Dytn chr1:63622850-63686927
Mdh1b chr1:63698818-63730318
Fastkd2 chr1:63730613-63754655
4933402D24Rik chr1:63754906-63769267
Gm13749 chr1:63964726-63968999
Klf7 chr1:64029446-64121491
Gm26649 chr1:64029462-64032927
Mir6899 chr1:64042437-64042501
Gm13748 chr1:64078653-64090782
Gm28981 chr1:64185990-64303043
Gm25748 chr1:64396333-64396403
Creb1 chr1:64532644-64604548
Mettl21a chr1:64606472-64617242
Gm28982 chr1:64617783-64626033
Gm29152 chr1:64649934-64652756
2810408I11Rik chr1:64679870-64690659
Ccnyl1 chr1:64690454-64725644
Fzd5 chr1:64730557-64737751
Gm38058 chr1:64736239-64740607
Plekhm3 chr1:64789120-64956824
Gm24788 chr1:65001306-65001462
Akr1cl chr1:65012688-65032759
Cryge chr1:65048553-65051149
Crygd chr1:65061871-65063452
Crygc chr1:65071524-65073689
Crygb chr1:65080218-65082288
Cryga chr1:65100388-65103373
Gm28845 chr1:65100618-65119558
D630023F18Rik chr1:65105284-65123214
Idh1 chr1:65158615-65186479
Pikfyve chr1:65186701-65278695
Pth2r chr1:65311256-65389244
Crygf chr1:65926519-65928307
Map2 chr1:66175312-66442583
Gm24729 chr1:66305888-66306025
Gm10558 chr1:66322275-66328796
Gm25411 chr1:66436081-66436232
