Myo81F 3R:567076-2532932
CG34287 3R:5853332-5854282
ECSIT 3R:5856585-5857914
CG2017 3R:5858083-5862405
CR46133 3R:5858195-5858894
CG34113 3R:5862865-5959555
CR45761 3R:5890842-5891926
CR45762 3R:5914316-5915335
CG11373 3R:5960294-5960987
CR44925 3R:5965806-5966411
CR44926 3R:5969983-5970598
lncRNA:TS20 3R:5970760-5971291
Obp83a 3R:5972155-5975245
Obp83b 3R:5976177-5976817
CR44927 3R:5989227-5990341
CR44928 3R:5994791-5995817
Rm62 3R:6000426-6008579
CG10280 3R:6010573-6011932
CG11459 3R:6025826-6027238
CR1075 3R:6027767-6028621
CR46221 3R:6037787-6038372
CR44921 3R:6053028-6053528
CG15580 3R:6054712-6057536
Or83c 3R:6076804-6078283
Gasp 3R:6088799-6100887
CR44929 3R:6101958-6104863
Obp83cd 3R:6108134-6109733
Obp83ef 3R:6109642-6111034
Obp83g 3R:6111671-6112302
Vha14-2 3R:6122592-6124405
CR43486 3R:6126476-6127152
CR43487 3R:6127229-6127955
CG31559 3R:6150116-6157235
CG1077 3R:6167483-6170309
Osi1 3R:6173549-6174971
CR31562 3R:6184455-6185629
NPFR 3R:6187315-6195403
Osi24 3R:6198811-6207678
Osi2 3R:6209373-6213493
Osi3 3R:6215832-6218199
Osi4 3R:6218318-6221781
Osi5 3R:6227512-6228828
Osi6 3R:6234708-6237181
Osi7 3R:6248994-6251683
Osi8 3R:6255175-6256602
Osi9 3R:6260211-6262105
Osi10 3R:6263976-6267395
Osi11 3R:6267591-6268757
Osi12 3R:6278531-6282495
CG15597 3R:6284462-6285200
CG15594 3R:6287733-6289824
Osi13 3R:6291737-6293489
Osi14 3R:6299128-6300738
Osi15 3R:6301804-6303653
Osi16 3R:6305247-6306366
CG46026 3R:6306884-6309030
CG31560 3R:6309976-6310998
Osi17 3R:6311772-6327308
Osi18 3R:6330248-6331809
Osi19 3R:6335362-6337196
Osi20 3R:6340095-6341424
CG17917 3R:6341968-6342873
CG10298 3R:6343002-6343799
CG17919 3R:6344029-6345087
SmD2 3R:6345000-6345911
CG18048 3R:6346111-6347519
Hr83 3R:6349243-6350512
Pak 3R:6350896-6361614
CG42724 3R:6361672-6368288
CG10286 3R:6368965-6371115
CRAT 3R:6371026-6376044
CG42564 3R:6374475-6377348
snoRNA:83E4-5 3R:6375359-6375498
CG1024 3R:6377349-6380328
CG42537 3R:6377797-6378233
TfIIFalpha 3R:6380467-6382604
godzilla 3R:6382914-6388304
Dmtn 3R:6389162-6405895
gpp 3R:6406855-6449274
CR44017 3R:6408978-6409578
CG9727 3R:6449944-6456676
mir-9375 3R:6451551-6451609
Zif 3R:6457088-6458822
Neurochondrin 3R:6468437-6471016
CG15186 3R:6478311-6495025
tRNA:Met-CAT-1-5 3R:6496039-6496111
CG15185 3R:6527508-6528674
dpr11 3R:6529169-6593330
Pif2 3R:6549036-6549983
CR46132 3R:6554317-6554999
CG1137 3R:6558618-6560351
CG2336 3R:6580784-6582271
CR46131 3R:6585431-6586105
CG1138 3R:6596625-6598022
CG31482 3R:6601242-6602201
glob2 3R:6605997-6608914
sowi 3R:6626930-6627900
CG15177 3R:6628204-6629321
sunz 3R:6630151-6631184
CG31286 3R:6641232-6643346
CG1315 3R:6642262-6644434
Taf1 3R:6646889-6656048
CG1307 3R:6656030-6657442
twr 3R:6657882-6659442
agt 3R:6658806-6660100
lab 3R:6661427-6678590
Edg84A 3R:6684445-6685157
Ccp84Ag 3R:6686728-6688039
Ccp84Af 3R:6689602-6690239
Ccp84Ae 3R:6690887-6691758
Ccp84Ad 3R:6692732-6693527
Ccp84Ac 3R:6695148-6696271
pncr002:3R 3R:6699560-6700164
Ccp84Ab 3R:6701968-6702877
Ccp84Aa 3R:6704084-6704903
pb 3R:6707800-6742063
zen2 3R:6743135-6744136
CG34297 3R:6747068-6748007
zen 3R:6752864-6754194
bcd 3R:6755842-6759466
CR45593 3R:6761513-6763478
Ama 3R:6762593-6765261
CR44930 3R:6765485-6766709
CR42721 3R:6767050-6779728
mir-993 3R:6776333-6776451
CR43435 3R:6778117-6778952
Dfd 3R:6791836-6802428
CR42651 3R:6808796-6816379
mir-10 3R:6809506-6809582
CR45915 3R:6810819-6811246
tRNA:Lys-CTT-2-1Psi 3R:6819266-6819338
tRNA:Lys-TTT-2-1 3R:6819894-6819966
7SLRNA:CR42652 3R:6820133-6820431
tRNA:Lys-TTT-2-2 3R:6821068-6821140
tRNA:Lys-TTT-2-3 3R:6821789-6821861
7SLRNA:CR32864 3R:6822498-6822796
tRNA:Lys-TTT-2-4 3R:6822963-6823035
Scr 3R:6823120-6849981
CR45901 3R:6833363-6834247
CR45902 3R:6834343-6834967
CR45903 3R:6835380-6835690
CR45904 3R:6835869-6836358
CR45905 3R:6836666-6837608
CR45900 3R:6858839-6859192
ftz 3R:6864324-6866244
CR44931 3R:6877678-6885278
CR45559 3R:6892918-6893462
CR44932 3R:6895178-6896128
Antp 3R:6896253-6999228
CR43252 3R:6903442-6904682
CR45899 3R:7000492-7001423
CR44933 3R:7037878-7039678
Sodh-1 3R:7052335-7054541
CG1979 3R:7054586-7058671
dj 3R:7059315-7060524
djl 3R:7060767-7061919
CG1988 3R:7062175-7064370
CG1105 3R:7064186-7067136
CG1965 3R:7067401-7071624
Ufl1 3R:7071624-7074452
CR45908 3R:7074776-7075487
CG1943 3R:7074859-7077981
Ref1 3R:7077904-7080387
Dpck 3R:7082182-7083251
Tailor 3R:7083225-7086083
CR45907 3R:7085660-7086140
alphaTub84B 3R:7086599-7088839
CR43685 3R:7092347-7093707
e(y)2b 3R:7093935-7094727
Alh 3R:7094596-7124185
CR45906 3R:7110012-7110264
Mlp84B 3R:7112850-7117732
CG10098 3R:7124548-7126503
CG10068 3R:7126271-7128027
CR42875 3R:7128087-7129067
CG31248 3R:7129320-7130908
tRNA:Gly-TCC-1-1 3R:7129864-7129935
tRNA:Gly-TCC-1-2 3R:7130947-7131018
CG31493 3R:7131560-7132695
Fer1 3R:7136206-7141972
CR42738 3R:7143487-7144295
CG14610 3R:7143729-7144295
CG2656 3R:7144724-7151270
gfzf 3R:7145880-7150968
Sas-4 3R:7151367-7154219
MAGE 3R:7154238-7155180
CR45909 3R:7159229-7162936
sas 3R:7162808-7183702
CG10055 3R:7184101-7186673
lap 3R:7186994-7200941
CG14609 3R:7200970-7203450
CG1288 3R:7206652-7208431
CG14606 3R:7214339-7217083
CG14605 3R:7217679-7219705
thw 3R:7224414-7241138
CG14607 3R:7241760-7244006
CG1234 3R:7244232-7246969
CG10053 3R:7247090-7248140
CG1227 3R:7248151-7249738
CG10050 3R:7249795-7251750
Obp84a 3R:7250725-7251957
Gld 3R:7252063-7265703
CR44338 3R:7263440-7264292
Syt4 3R:7266065-7270809
CR10032 3R:7271592-7272509
rn 3R:7272617-7309629
CR44333 3R:7285230-7285595
RacGAP84C 3R:7285962-7287629
CG42544 3R:7304592-7304954
CR44334 3R:7312338-7312858
CR46130 3R:7315399-7315661
CG10029 3R:7315724-7317207
CR46299 3R:7318039-7318803
CR46224 3R:7318988-7319232
CG44335 3R:7325597-7326459
lncRNA:TS14 3R:7326481-7327181
CR44337 3R:7331500-7332002
CG31496 3R:7345069-7346354
nxf4 3R:7346730-7347836
CG43290 3R:7348849-7349552
CG17944 3R:7361368-7362123
Mst84Dd 3R:7363307-7363773
Mst84Dc 3R:7364254-7364673
Mst84Db 3R:7365160-7365627
Mst84Da 3R:7365850-7366262
MstProx 3R:7365939-7369305
CR45560 3R:7387444-7388319
CG42650 3R:7391413-7392280
Ir84a 3R:7406869-7409384
CR46300 3R:7418938-7420698
wa-cup 3R:7420765-7423057
CG14598 3R:7439760-7441976
tRNA:Val-CAC-2-1 3R:7451297-7451369
mir-4950 3R:7451452-7451543
tRNA:Val-CAC-2-2 3R:7452060-7452132
CR44934 3R:7467940-7468662
tRNA:Val-CAC-2-3 3R:7472060-7472132
CG1142 3R:7472458-7473781
scaRNA:MeU5-C46 3R:7472907-7473222
snRNA:7SK 3R:7474553-7474996
tRNA:Val-CAC-2-4 3R:7475903-7475975
alpha-Est10 3R:7486583-7493845
CG42656 3R:7492961-7493271
alpha-Est9 3R:7493921-7505098
Mics1 3R:7500951-7502376
alpha-Est8 3R:7509343-7515670
Ubc84D 3R:7518820-7519456
alpha-Est7 3R:7519563-7523753
alpha-Est6 3R:7524567-7528777
alpha-Est4aPsi 3R:7526369-7528068
Rtnl2 3R:7528864-7530241
alphaTub84D 3R:7530753-7532732
alpha-Est5 3R:7533496-7536390
alpha-Est4 3R:7536687-7538615
CR46128 3R:7537842-7541279
alpha-Est3 3R:7538972-7541631
alpha-Est2 3R:7541810-7545230
CR46129 3R:7544843-7545250
alpha-Est1 3R:7545733-7549124
CG45545 3R:7552008-7552298
Nlg3 3R:7570281-7639434
CR44332 3R:7626882-7627290
Nlg1 3R:7658247-7694874
CR44260 3R:7720049-7721124
CG2616 3R:7722417-7724715
CG43254 3R:7738965-7739563
CR44935 3R:7740178-7740778
pyd3 3R:7747913-7750079
CG10919 3R:7758122-7759677
Sp7 3R:7759786-7763947
CG11286 3R:7770860-7771756
CR46225 3R:7774029-7774583
CR46226 3R:7775410-7775768
CG18747 3R:7780884-7783446
CG18745 3R:7783843-7786119
CG18748 3R:7786170-7787923
CG18746 3R:7788282-7790187
CG10086 3R:7790633-7793483
CG2641 3R:7794069-7796599
CG18744 3R:7797078-7798771
CG3014 3R:7799264-7802793
CG18268 3R:7802831-7804432
CG2993 3R:7804665-7810014
sgll 3R:7810532-7811912
CG31473 3R:7811814-7813009
CG34384 3R:7814361-7855392
CG17816 3R:7855582-7886733
CR46127 3R:7883693-7884441
ArgRS-m 3R:7887045-7890150
mRpS9 3R:7889277-7902667
wtrw 3R:7891331-7901147
EMC1 3R:7903030-7907363
Taf7 3R:7907333-7909721
Prat 3R:7909598-7911779
CG2846 3R:7912017-7913290
CG2678 3R:7913851-7916550
CG10445 3R:7916599-7920299
lds 3R:7920431-7924491
scaRNA:MeU2-C41 3R:7921952-7922073
dsx 3R:7924323-7967408
CD98hc 3R:7974409-7978428
Os-C 3R:7978959-7979614
Sfp84E 3R:7979588-7980322
CG2781 3R:7981817-7995852
CR46143 3R:7995985-7997435
CR46142 3R:7997606-7998352
PIG-H 3R:7999832-8001064
Kmn2 3R:8000548-8001309
CG2698 3R:8001562-8006033
CG2767 3R:8005924-8008110
CG11052 3R:8008249-8009297
CG3223 3R:8009400-8011018
CG10435 3R:8010907-8013201
Pbp95 3R:8013791-8016610
CG2747 3R:8016210-8030790
ImpE3 3R:8028453-8029546
CG10903 3R:8030411-8032145
CG11035 3R:8031130-8033009
unc-45 3R:8033301-8037403
CR44936 3R:8038250-8039626
CG43060 3R:8041224-8055970
CG43618 3R:8049167-8049456
CG43061 3R:8049673-8050059
mAChR-B 3R:8059284-8087049
snoRNA:Me18S-G423 3R:8075631-8075726
CG7910 3R:8087252-8089526
CR44330 3R:8089757-8090285
CG7900 3R:8094124-8105083
puc 3R:8105332-8122294
CR44331 3R:8112699-8114003
CG7878 3R:8122725-8125273
CG9667 3R:8125290-8126357
Gie 3R:8126605-8129835
tRNA:Asn-GTT-1-10 3R:8139533-8139606
tRNA:Arg-ACG-1-6 3R:8139951-8140023
tRNA:Arg-ACG-1-7 3R:8140223-8140295
tRNA:Arg-ACG-1-8 3R:8140476-8140548
tRNA:Arg-ACG-1-9 3R:8140727-8140799
tRNA:Arg-ACG-1-10 3R:8140970-8141042
grn 3R:8147368-8181444
CR43302 3R:8197320-8197711
CR43303 3R:8201480-8201994
CheA84a 3R:8204195-8204830
CG7800 3R:8217957-8219734
CG18249 3R:8220146-8222188
CR45551 3R:8225279-8232178
CR45550 3R:8228008-8229448
CR45549 3R:8233228-8233962
DNApol-iota 3R:8233507-8237389
Ada2b 3R:8236632-8240515
CG9636 3R:8240747-8243792
CG18749 3R:8244055-8248054
CG33722 3R:8244055-8248054
CG15864 3R:8248438-8250324
mtg 3R:8250497-8260718
CR18228 3R:8260706-8261898
RpA-70 3R:8262120-8264451
Mcm2 3R:8264970-8267924
CG9630 3R:8267943-8269896
ato 3R:8278052-8279274
CR44318 3R:8287169-8287698
CG11671 3R:8287876-8288613
CG11672 3R:8289395-8290578
CG31464 3R:8291240-8292034
CG31463 3R:8292335-8293609
CG9626 3R:8293843-8300978
mRpL1 3R:8301440-8302770
nac 3R:8302686-8304023
Sgt1 3R:8304190-8305274
tex 3R:8307473-8308645
mir-4918 3R:8308431-8308485
CG11693 3R:8308881-8310778
CG11694 3R:8311203-8312137
CG11698 3R:8312188-8313097
CG7483 3R:8313208-8314864
Coq2 3R:8314784-8316543
CR45215 3R:8316984-8318006
Ctr1B 3R:8317612-8319205
Poxm 3R:8319025-8333792
Or85a 3R:8321747-8323054
CG7443 3R:8324316-8325036
COX7A 3R:8339944-8341043
Arl2 3R:8341100-8341872
CG9601 3R:8341661-8343516
COX7AL 3R:8343669-8344310
DppIII 3R:8344400-8347465
CG7352 3R:8347579-8349296
mir-9380 3R:8348702-8348778
Atg13 3R:8349815-8352817
stck 3R:8356978-8359964
CG9684 3R:8359958-8362554
CG7963 3R:8362826-8363894
CG45263 3R:8364328-8477617
CR46126 3R:8413803-8414185
Obp85a 3R:8419822-8420597
CR46125 3R:8460241-8461200
Or85b 3R:8510077-8511358
Or85c 3R:8511734-8513022
CR46228 3R:8517043-8517384
CG11737 3R:8517868-8521378
CG31454 3R:8521658-8523520
CG31259 3R:8523944-8526667
CG11741 3R:8528423-8528877
CR45575 3R:8545685-8546049
CR45574 3R:8546910-8547385
Or85d 3R:8552608-8553968
pch2 3R:8559540-8561764
mRpS18A 3R:8561917-8562593
CG31460 3R:8562673-8563445
CR44291 3R:8562828-8563798
Cenp-C 3R:8564105-8569248
5-HT2B 3R:8578205-8629996
CR46124 3R:8612711-8613030
Or85e 3R:8634320-8635878
tRNA:Tyr-GTA-1-4 3R:8642333-8642425
tRNA:Tyr-GTA-1-5 3R:8642701-8642793
Cyp313b1 3R:8643070-8645650
Mkk4 3R:8646172-8650796
SLIRP2 3R:8651084-8651493
Dhod 3R:8651391-8652916
CG11753 3R:8652821-8653847
CG42489 3R:8653802-8654766
bel 3R:8654975-8660761
p 3R:8660903-8670684
CG8032 3R:8664115-8667772
CG8036 3R:8667868-8673702
tRNA:Tyr-GTA-1-6 3R:8668116-8668208
tRNA:Tyr-GTA-1-7 3R:8668612-8668705
tRNA:Tyr-GTA-1-8 3R:8669081-8669174
mRpL19 3R:8674109-8675196
CG9773 3R:8675283-8676613
CG11755 3R:8676915-8678955
CG8043 3R:8676915-8678233
CG33325 3R:8678954-8680034
CR44937 3R:8683578-8686187
CG44227 3R:8684793-8685176
hb 3R:8690980-8697822
Cks85A 3R:8712906-8718456
CG8112 3R:8712933-8715263
TMEM216 3R:8716243-8721320
CG11760 3R:8719198-8721320
CG8136 3R:8721371-8723051
nom 3R:8723174-8725357
ouib 3R:8725479-8726730
CG8159 3R:8726854-8728370
ranshi 3R:8728367-8729693
M1BP 3R:8729790-8731698
CG8202 3R:8732091-8735837
CG9801 3R:8735879-8747675
CG8223 3R:8747798-8754104
CG11768 3R:8749206-8768200
CG34135 3R:8749206-8768191
CR44228 3R:8754064-8755916
CG8236 3R:8769394-8771150
CG13318 3R:8771246-8772691
CG34301 3R:8773435-8773810
Pif1A 3R:8774286-8801176
Pif1B 3R:8774286-8801176
CG33191 3R:8778379-8779923
CG33189 3R:8780113-8780789
Ir85a 3R:8794684-8796966
CCT7 3R:8801564-8806234
CG9839 3R:8803471-8805802
hng2 3R:8806322-8807581
CG9837 3R:8807679-8813579
CG9821 3R:8813490-8820682
CR43130 3R:8819618-8821098
CG8369 3R:8822008-8822838
IscU 3R:8822849-8824177
CG8379 3R:8824411-8827279
pyd 3R:8827068-8931896
tRNA:Arg-TCG-2-3 3R:8861880-8861952
tRNA:Arg-TCG-2-4 3R:8862933-8863005
CR44020 3R:8934279-8935287
osk 3R:8935126-8938395
skap 3R:8938724-8943027
CG11964 3R:8942954-8945020
CG11966 3R:8950246-8963037
CAHbeta 3R:8980860-8982793
RagA-B 3R:8982732-8984315
CG11970 3R:8984718-8990649
E(var)3-9 3R:8990645-8992949
CG11975 3R:8993253-8995212
CG31100 3R:8995229-9003650
CG11977 3R:8997697-8998678
CG11980 3R:9004017-9005331
Prosbeta3 3R:9005313-9006226
CG11982 3R:9006456-9008030
CG11983 3R:9008321-9010274
Kcmf1 3R:9010282-9014909
Sf3b5 3R:9014972-9015341
CG11986 3R:9015446-9016822
tgo 3R:9016773-9020022
neur 3R:9020348-9039471
CR31429 3R:9022057-9024018
hyx 3R:9038760-9042349
Nmdmc 3R:9042508-9050555
Rel 3R:9044183-9047977
Mst85C 3R:9048645-9052231
Kdm2 3R:9052495-9063245
beag 3R:9063132-9065078
Ada 3R:9065183-9066303
pum 3R:9066343-9237682
CG11997 3R:9177517-9179098
CR45196 3R:9228133-9230277
D1 3R:9238083-9240654
Vps15 3R:9240757-9245869
CG8420 3R:9246649-9251431
St2 3R:9251843-9253514
CR16735 3R:9253545-9254683
CG16734 3R:9255052-9256731
CG16736 3R:9256689-9257716
Ibf2 3R:9257727-9258501
Ibf1 3R:9258964-9260400
VhaM8.9 3R:9260638-9262590
sage 3R:9262654-9264142
TrpRS 3R:9265027-9266904
Vps16A 3R:9267019-9270224
CG8861 3R:9293642-9328511
HP1e 3R:9321770-9322361
CG12951 3R:9329223-9330331
CG16749 3R:9330885-9331885
Aduk 3R:9332064-9334714
pasi2 3R:9335170-9337459
CR43301 3R:9338223-9339992
CG45050 3R:9340216-9362994
snoRNA:Me18S-G1358a 3R:9354268-9354342
snoRNA:Me18S-G1358b 3R:9355313-9355387
CG43675 3R:9355495-9359189
CG18473 3R:9363305-9364838
CG8129 3R:9365398-9367763
FER 3R:9367603-9394546
CR46145 3R:9393890-9394737
Or85f 3R:9398190-9399551
CG34117 3R:9399570-9400053
RpL34b 3R:9400237-9401226
CG8132 3R:9401495-9402618
CG9356 3R:9402564-9404269
CG8135 3R:9404385-9407857
CG42511 3R:9404385-9407857
CG44261 3R:9407694-9408169
betaTub85D 3R:9408383-9410282
Task7 3R:9410329-9412293
alpha-Man-IIa 3R:9412548-9417264
ps 3R:9417940-9455500
GstZ1 3R:9455517-9456546
