chrom	start	stop
chr2	98666837	98666858
chr14	75179321	75179525
chr15	67289863	67290067
chr15	101283901	101284105
chr16	32130218	32130422
chr16	91466741	91466945
chr18	25241763	25241967
chr18	31788844	31789048
chr19	10763874	10763884
chr19	29454187	29454391
chr19	47919658	47919666
chr19	56548173	56548377
chr1	54493578	54493782
chr1	75521893	75522097
chr1	79775953	79776157
chr1	92064318	92064522
chr1	144249080	144249284
chr2	11159776	11159980
chr2	173083849	173084053
chr3	35318361	35318565
chr3	52840251	52840455
chr3	115673786	115673990
chr3	133332340	133332544
chr4	83327988	83328192
chr4	106794369	106794573
chr4	133277764	133277968
chr4	145045813	145046017
chr5	65856948	65857152
chr6	118167160	118167364
chr7	75372077	75372281
chr8	106643195	106643399
chr9	44980414	44980618
chr10	116930628	116930832
chr11	5177208	5177412
chr11	44470466	44470670
chr11	54727493	54727697
chr11	69094731	69094935
chr11	89024175	89024379
chr11	93968272	93968476
chr11	106674690	106674894
chr13	28502274	28502478
chr13	30833527	30833622
chr13	117024053	117024257
chr14	21052124	21052328
chr14	31398885	31399089
chr15	60141684	60141888
chr15	62730564	62730768
chr15	80572304	80572508
chr16	35981641	35981845
chr16	49790897	49791101
chr16	92786818	92787022
chr17	6827992	6828130
chr17	46073973	46074177
chr18	50028267	50028471
chr18	79297586	79297790
chr19	4119781	4119985
chr19	5295381	5295585
chr1	36296729	36296931
chr1	131638183	131638387
chr1	171607295	171607499
chr1	183134562	183134766
chr2	6723637	6723841
chr2	13413621	13413825
chr2	78961798	78962002
chr2	170319251	170319455
chr3	59101754	59101958
chr4	8926690	8926817
chr4	143412681	143412885
chr4	155200933	155201027
chr4	155223159	155223295
chr5	124483083	124483287
chr6	86850688	86850892
chr6	145193518	145193722
chr7	25658955	25659159
chr7	75782625	75782813
chr7	82866123	82866327
chr7	89248218	89248422
chr7	127776952	127777156
chr7	128633295	128633499
chr8	35677936	35678140
chr9	44881506	44881564
chr9	57647586	57647790
chr9	63720893	63721097
chr9	103108872	103108927
chr9	116384242	116384446
chr10	122794627	122794831
chr10	122807149	122807353
chr11	4203324	4203528
chr12	107126094	107126298
chr13	69611898	69612102
chr14	79301719	79301923
chr15	38300895	38301099
chr15	62189771	62189975
chr15	76512048	76512137
chr15	102405586	102405790
chr16	23274638	23274842
chr16	78540593	78540797
chr17	15041476	15041680
chr17	26531899	26532103
chr17	50094219	50094423
chr17	84163023	84163227
chr18	34330986	34331190
chr18	65430639	65430843
chr18	82503918	82504122
chr1	161251458	161251662
chr1	161788316	161788520
chr1	184118063	184118267
chr2	43756758	43756962
chr2	102999245	102999276
chr2	132643357	132643561
chr2	168472980	168473184
chr2	174602392	174602596
chr3	89411835	89412039
chr3	105800129	105800333
chr4	11485824	11486028
chr4	59261308	59261512
chr4	134495335	134495539
chr4	137593497	137593701
chr4	149856470	149856674
chr5	3355853	3356057
chr5	15004738	15004942
chr5	23386857	23386957
chr5	105642767	105642866
chr5	144222822	144223026
chr6	8504912	8505116
chr6	22411878	22412082
chr6	34317497	34317701
chr6	35133880	35134084
chr6	39420170	39420374
chr6	50377887	50378091
chr6	97310877	97311081
chr6	108098562	108098766
chr6	113306552	113306706
chr6	117879616	117879745
chr6	117879129	117879317
chr7	75455238	75455442
chr7	141447488	141447536
chr8	20122117	20122321
chr9	7836960	7837164
chr9	41084199	41084250
chr9	56419013	56419217
chr9	66873689	66873893
chr9	95279982	95280186
chr9	99243076	99243280
chr10	68445425	68445629
chr10	84622257	84622461
chr11	43358867	43359071
chr11	58301826	58302030
chr11	100814554	100814758
chr11	106788854	106789058
chr11	106788454	106788658
chr11	117780840	117781000
chr12	25958717	25958921
chr12	80273221	80273291
chr12	100994215	100994419
chr14	121881315	121881519
chr15	86067515	86067719
chr16	5393493	5393697
chr16	23107412	23107616
chr16	78563516	78563720
chr19	10787453	10787657
chr1	85686690	85686894
chr1	97770068	97770272
chr1	125435642	125435777
chr1	132477032	132477236
chr1	136600613	136600817
chr1	181860751	181860955
chr2	30547557	30547761
chr2	71941438	71941642
chr2	146855778	146855982
chr3	105815486	105815599
chr3	132683982	132684186
chr3	138143831	138144035
chr4	6902205	6902409
chr4	149658152	149658356
chr5	64960951	64961155
chr5	105518981	105519111
chr5	111059462	111059666
chr5	140636753	140636957
chr6	15793419	15793572
chr6	99026294	99026498
chr6	113668967	113669171
chr6	136519411	136519615
chr7	30322843	30323047
chr7	75701818	75702022
chr7	101600467	101600671
chr7	109951526	109951652
chr7	127922751	127922955
chr8	13601182	13601386
chr8	57576362	57576566
chr8	94454351	94454555
chr8	116638139	116638343
chr8	126855890	126856094
chr9	13894561	13894765
chr9	88380199	88380403
chr9	89211095	89211249
chr9	123872099	123872303
chr10	34111184	34111388
chr10	39402651	39402855
chr10	80678222	80678426
chr10	96609443	96609647
chr10	117953227	117953305
chr10	118103236	118103440
chr11	5837774	5837978
chr11	17160484	17160688
chr11	78536271	78536475
chr11	79641240	79641444
chr11	87422845	87423049
chr11	90637920	90638124
chr11	106033459	106033663
chr12	44268810	44268883
chr12	72844248	72844452
chr13	109837646	109837850
chr14	53174212	53174416
chr14	73524840	73525044
chr14	101453024	101453228
chr15	58872490	58872694
chr15	78495064	78495268
chr16	4880590	4880794
chr16	75767058	75767262
chr17	28207704	28207908
chr17	47508033	47508237
chr17	84145896	84146100
chr18	3337283	3337487
chr19	11411619	11411823
chr19	60756715	60756919
chr1	13267496	13267606
chr1	69759621	69759825
chr1	86441638	86441660
chr1	86442069	86442254
chr1	92080225	92080429
chr1	118388901	118389105
chr1	127297070	127297274
chr1	164882092	164882296
chr2	5845071	5845275
chr2	19657578	19657774
chr2	121506539	121506743
chr2	131509821	131510025
chr2	144527598	144527802
chr3	52555193	52555397
chr3	96557199	96557253
